;zipcode;city
0;1301;København K
1;2000;Frederiksberg
2;2100;København Ø
3;2200;København N
4;2300;København S
5;2400;København NV
6;2450;København SV
7;2500;Valby
8;2600;Glostrup
9;2605;Brøndby
10;2610;Rødovre
11;2625;Vallensbæk
12;2630;Taastrup
13;2635;Ishøj
14;2640;Hedehusene
15;2650;Hvidovre
16;2660;Brøndby Strand
17;2665;Vallensbæk Strand
18;2670;Greve
19;2670;Greve Strand
20;2680;Solrød Strand
21;2690;Karlslunde
22;2700;Brønshøj
23;2720;Vanløse
24;2730;Herlev
25;2740;Skovlunde
26;2750;Ballerup
27;2760;Måløv
28;2765;Smørum
29;2770;Kastrup
30;2791;Dragør
31;2800;Kongens Lyngby
32;2820;Gentofte
33;2830;Virum
34;2840;Holte
35;2850;Nærum
36;2860;Søborg
37;2880;Bagsværd
38;2900;Hellerup
39;2920;Charlottenlund
40;2930;Klampenborg
41;2942;Skodsborg
42;2950;Vedbæk
43;2960;Rungsted Kyst
44;2970;Hørsholm
45;2980;Kokkedal
46;2990;Nivå
47;3000;Helsingør
48;3050;Humlebæk
49;3060;Espergærde
50;3070;Snekkersten
51;3080;Tikøb
52;3100;Hornbæk
53;3120;Dronningmølle
54;3140;Ålsgårde
55;3150;Hellebæk
56;3200;Helsinge
57;3210;Vejby
58;3220;Tisvildeleje
59;3230;Græsted
60;3250;Gilleleje
61;3300;Frederiksværk
62;3310;Ølsted
63;3320;Skævinge
64;3330;Gørløse
65;3360;Liseleje
66;3370;Melby
67;3390;Hundested
68;3400;Hillerød
69;3460;Birkerød
70;3480;Fredensborg
71;3490;Kvistgård
72;3500;Værløse
73;3520;Farum
74;3540;Lynge
75;3550;Slangerup
76;3600;Frederikssund
77;3630;Jægerspris
78;3650;Ølstykke
79;3660;Stenløse
80;3670;Veksø Sjælland
81;3700;Rønne
82;3720;Aakirkeby
83;3730;Nexø
84;3740;Svaneke
85;3751;Østermarie
86;3760;Gudhjem
87;3770;Allinge
88;3782;Klemensker
89;3790;Hasle
90;4000;Roskilde
91;4040;Jyllinge
92;4050;Skibby
93;4060;Kirke Såby
94;4070;Kirke Hyllinge
95;4100;Ringsted
96;4130;Viby Sjælland
97;4140;Borup
98;4160;Herlufmagle
99;4171;Glumsø
100;4173;Fjenneslev
101;4174;Jystrup
102;4180;Sorø
103;4190;Munke Bjergby
104;4200;Slagelse
105;4220;Korsør
106;4230;Skælskør
107;4241;Vemmelev
108;4242;Boeslunde
109;4243;Rude
110;4250;Fuglebjerg
111;4261;Dalmose
112;4262;Sandved
113;4270;Høng
114;4281;Gørlev
115;4291;Ruds Vedby
116;4293;Dianalund
117;4295;Stenlille
118;4296;Nyrup
119;4300;Holbæk
120;4320;Lejre
121;4330;Hvalsø
122;4340;Tølløse
123;4350;Ugerløse
124;4360;Kirke Eskilstrup
125;4370;Store Merløse
126;4390;Vipperød
127;4400;Kalundborg
128;4420;Regstrup
129;4440;Mørkøv
130;4450;Jyderup
131;4460;Snertinge
132;4470;Svebølle
133;4480;Store Fuglede
134;4490;Jerslev
135;4500;Nykøbing Sj
136;4520;Svinninge
137;4532;Gislinge
138;4534;Hørve
139;4540;Fårevejle
140;4550;Asnæs
141;4560;Vig
142;4571;Grevinge
143;4572;Nørre Asmindrup
144;4573;Højby
145;4581;Rørvig
146;4583;Sjællands Odde
147;4591;Føllenslev
148;4592;Sejerø
149;4593;Eskebjerg
150;4600;Køge
151;4621;Gadstrup
152;4622;Havdrup
153;4623;Lille Skensved
154;4632;Bjæverskov
155;4640;Fakse
156;4652;Hårlev
157;4653;Karise
158;4654;Fakse Ladeplads
159;4660;Store Heddinge
160;4671;Strøby
161;4672;Klippinge
162;4673;Rødvig Stevns
163;4681;Herfølge
164;4682;Tureby
165;4683;Rønnede
166;4684;Holme-Olstrup
167;4690;Haslev
168;4700;Næstved
169;4720;Præstø
170;4733;Tappernøje
171;4735;Mern
172;4736;Karrebæksminde
173;4750;Lundby
174;4760;Vordingborg
175;4771;Kalvehave
176;4772;Langebæk
177;4773;Stensved
178;4780;Stege
179;4791;Borre
180;4792;Askeby
181;4793;Bogø By
182;4800;Nykøbing F
183;4840;Nørre Alslev
184;4850;Stubbekøbing
185;4862;Guldborg
186;4863;Eskilstrup
187;4871;Horbelev
188;4872;Idestrup
189;4873;Væggerløse
190;4874;Gedser
191;4880;Nysted
192;4891;Toreby L
193;4892;Kettinge
194;4894;Øster Ulslev
195;4895;Errindlev
196;4900;Nakskov
197;4912;Harpelunde
198;4913;Horslunde
199;4920;Søllested
200;4930;Maribo
201;4941;Bandholm
202;4943;Torrig L
203;4944;Fejø
204;4951;Nørreballe
205;4952;Stokkemarke
206;4953;Vesterborg
207;4960;Holeby
208;4970;Rødby
209;4983;Dannemare
210;4990;Sakskøbing
211;5000;Odense C
212;5200;Odense V
213;5210;Odense NV
214;5220;Odense SØ
215;5230;Odense M
216;5240;Odense NØ
217;5250;Odense SV
218;5260;Odense S
219;5270;Odense N
220;5290;Marslev
221;5300;Kerteminde
222;5330;Munkebo
223;5350;Rynkeby
224;5370;Mesinge
225;5380;Dalby
226;5390;Martofte
227;5400;Bogense
228;5450;Otterup
229;5462;Morud
230;5463;Harndrup
231;5464;Brenderup
232;5466;Asperup
233;5471;Søndersø
234;5474;Veflinge
235;5485;Skamby
236;5491;Blommenslyst
237;5492;Vissenbjerg
238;5500;Middelfart
239;5540;Ullerslev
240;5550;Langeskov
241;5560;Aarup
242;5580;Nørre Aaby
243;5591;Gelsted
244;5592;Ejby
245;5600;Faaborg
